,pid,name,cpu_percent,memory
156,1264,udisksd,0.0,0.17242984211021473
157,1265,wpa_supplicant,0.0,0.06038031133940256
158,1267,avahi-daemon,0.0,0.004131546447790941
159,1295,preload,0.0,0.07765316215125143
160,1337,cups-browsed,0.0,0.15839253972133466
161,1677,colord,0.0,0.17765649725501048
162,1679,mongod,0.0,1.2333412811676647
163,1684,unattended-upgr,0.0,0.2841807068727528
164,1746,ModemManager,0.0,0.13186104265299042
165,1748,anydesk,0.0,0.25550877007844464
166,1812,containerd,0.0,0.5937480244487994
167,2456,gdm3,0.0,0.10647443194969668
168,2548,tor,0.0,0.4178835232434332
169,2556,anydesk,0.0,0.24570256947344685
170,2562,dbus,0.0,0.0809882659103116
171,2601,postgres,0.0,0.35655743621116287
172,2661,kerneloops,0.0,0.005624876489161162
173,2664,kerneloops,0.0,0.005575098821115488
174,2781,postgres,0.0,0.09328334991759307
175,2782,postgres,0.0,0.06749851786993394
176,2783,postgres,0.0,0.12071084501075943
177,2784,postgres,0.0,0.10398554854741297
178,2785,postgres,0.0,0.05759276192884481
179,2786,postgres,0.0,0.08088871057422024
180,2787,apache2,0.0,0.06650296450902046
181,2788,apache2,0.0,0.13803347349065398
182,2789,apache2,0.0,0.13808325115869968
183,2792,teamviewerd,0.0,0.1391285821876588
184,2843,dockerd,0.0,1.1368721604951484
185,2926,rtkit-daemon,0.0,0.03583992099288528
186,3901,upowerd,0.0,0.12394639343372826
187,6157,gdm-session-worker,0.0,0.12364772742545421
188,6182,systemd,0.0,0.1342005930511371
189,6183,(sd-pam),0.0,0.048981225356943214
190,6194,kited,0.0,2.337808179765079
191,6195,pulseaudio,0.0,0.2605363145510577
192,6197,tracker-miner-fs,0.0,0.42306040072018325
193,6201,dbus-daemon,0.0,0.06695096352143153
194,6203,gnome-keyring-daemon,0.0,0.09238735189277093
195,6210,gvfsd,0.0,0.09751445170147537
196,6225,gvfsd-fuse,0.0,0.08078915523812889
197,6228,gvfs-udisks2-volume-monitor,0.0,0.12210461971603832
198,6237,gvfs-goa-volume-monitor,0.0,0.08073937757008322
199,6241,goa-daemon,0.0,0.7157033111607007
200,6248,goa-identity-service,0.0,0.1127464181234516
201,6257,gvfs-mtp-volume-monitor,0.0,0.0754131670891961
202,6261,gvfs-gphoto2-volume-monitor,0.0,0.08890291512957377
203,6265,krfcommd,0.0,0.0
204,6266,gvfs-afc-volume-monitor,0.0,0.09243712956081661
205,7147,gnome-keyring-daemon,0.0,0.09497579063114599
206,7153,gdm-x-session,0.0,0.08268070662386451
207,7155,Xorg,0.0,1.0853024963998303
208,7227,gnome-session-binary,0.0,0.17327606246699118
209,8135,ssh-agent,0.0,0.005624876489161162
210,8167,at-spi-bus-launcher,0.0,0.08457225800960012
211,8174,dbus-daemon,0.0,0.05022566705808506
212,8227,none,0.0,0.007267539534668404
213,8232,gnome-session-ctl,0.0,0.05346121548105387
214,8238,gnome-session-binary,0.0,0.19433201605031128
215,8313,gnome-shell,0.0,3.6226195696919703
216,9245,ibus-daemon,0.0,0.10199444182558601
217,9247,gnome-shell-calendar-server,0.0,0.24784300919941082
218,9248,xdg-permission-store,0.0,0.057443428924707794
219,9258,ibus-dconf,0.0,0.08984869082244157
220,9259,ibus-extension-gtk3,0.0,0.3696987405752208
221,9261,ibus-x11,0.0,0.2972722335687651
222,9263,ibus-portal,0.0,0.07859893784411924
223,9275,at-spi2-registryd,0.0,0.09378112659804981
224,9285,evolution-source-registry,0.0,0.3212152918987343
225,10131,dconf-service,0.0,0.07680694179447498
226,10162,evolution-calendar-factory,0.0,0.3796542741843556
227,10173,evolution-addressbook-factory,0.0,0.3582996545927615
228,10188,gvfsd-trash,0.0,0.10308955052259083
229,10195,gjs,0.0,0.3310214925037321
230,10210,gsd-a11y-settings,0.0,0.08034115622571783
231,10211,gsd-color,0.0,0.33141971384809743
232,10212,gsd-datetime,0.0,0.19886178384246764
233,10216,gsd-housekeeping,0.0,0.10010289043985042
234,10218,gsd-keyboard,0.0,0.3064811021572148
235,10220,gsd-media-keys,0.0,0.33609881464439084
236,10226,gsd-power,0.0,0.30787487686249365
237,10228,gsd-print-notifications,0.0,0.13937747052788718
238,10229,gsd-rfkill,0.0,0.0754131670891961
239,10230,gsd-screensaver-proxy,0.0,0.07277495068277538
240,10231,gsd-sharing,0.0,0.12817749521761054
241,10232,gsd-smartcard,0.0,0.12688327584842302
242,10233,gsd-sound,0.0,0.11279619579149729
243,10235,gsd-usb-protection,0.0,0.08760869576038623
244,10236,gsd-wacom,0.0,0.2969237898924454
245,10237,gsd-wwan,0.0,0.09960511375939367
246,10238,gsd-xsettings,0.0,0.3171833007870347
247,10241,anydesk,0.0,0.2975211219089935
248,10247,evolution-alarm-notify,0.0,0.7267539534668404
249,10276,gsd-disk-utility-notify,0.0,0.08004249021744379
250,10319,ibus-engine-simple,0.0,0.08855447145325404
251,10325,gsd-printer,0.0,0.18731336485587124
252,10386,snap-store,0.0,2.408592023726028
253,10404,xdg-document-portal,0.0,0.08004249021744379
254,11206,xdg-desktop-portal,0.0,0.13161215431276205
255,11215,xdg-desktop-portal-gtk,0.0,0.3236543976329723
256,11231,fwupd,0.0,0.30926865156777256
257,11253,gnome-calendar,0.0,0.6839451589475607
258,11259,seahorse,0.0,0.5125606478663052
259,11844,gvfsd-network,0.0,0.10458288056396108
260,11861,gvfsd-dnssd,0.0,0.10677309795797073
261,11873,gvfsd-metadata,0.0,0.08004249021744379
262,12343,update-notifier,0.0,0.3415245804613693
263,12380,gnome-pomodoro,0.0,0.6675185284924884
